name,filename,filesize
Start,1 Start.png,292297
Christine Hamilton,1-Christine_Hamilton.jpg,333609
Menwith Hill,1-Menwith-Hill.jpg,2135993
Songs of Salt performance,1-Songs of Salt performance.jpg,711164
Truck busy yard,1-Truck-busy-yard.jpg,431125
Reactor Stack,1.Reactor-Stack_Jessica_Akerman_2023.jpg,649651
Studio Visit Dec 19,10%Jessica Akerman 19 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,103807
Studio Visit Dec 20,10%Jessica Akerman 20 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,86398
Studio Visit Dec 21,10%Jessica Akerman 21 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,48715
Studio Visit Dec 22,10%Jessica Akerman 22 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,62748
Studio Visit Dec 24,10%Jessica Akerman 24 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,45635
Studio Visit Dec 25,10%Jessica Akerman 25 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,154898
Studio Visit Dec 26,10%Jessica Akerman 26 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,147625
Studio Visit Dec 27,10%Jessica Akerman 27 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,134160
Studio Visit Dec 28,10%Jessica Akerman 28 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpg,137303
Adjusted Dec 02,10%adjusted Jessica Ackerman 02Dec 2022 Jo Hounsome Photography copy 2.jpeg,49483
Adjusted Dec 03,10%adjusted Jessica Ackerman 03Dec 2022 Jo Hounsome Photography copy 2.jpeg,99380
Adjusted Dec 04,10%adjusted Jessica Ackerman 04Dec 2022 Jo Hounsome Photography copy 2.jpeg,101231
Adjusted Dec 05,10%adjusted Jessica Ackerman 05Dec 2022 Jo Hounsome Photography copy 2.jpeg,64097
Adjusted Dec 11,10%adjusted Jessica Ackerman 11Dec 2022 Jo Hounsome Photography copy.jpeg,88884
Adjusted Dec 12,10%adjusted Jessica Ackerman 12Dec 2022 Jo Hounsome Photography copy.jpeg,87464
Adjusted Dec 09,12% adjusted Jessica Ackerman 09Dec 2022 Jo Hounsome Photography copy 2.jpeg,115954
Studio Visit Dec 09,12%Jessica Ackerman 09 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpeg,135929
Studio Visit Dec 10,12%Jessica Ackerman 10 Dec 2022 Studio Visit Jo Hounsome Photography copy.jpeg,220502
Adjusted Dec 06,12%adjusted Jessica Ackerman 06Dec 2022 Jo Hounsome Photography copy.jpeg,91447
Adjusted Dec 07,12%adjusted Jessica Ackerman 07Dec 2022 Jo Hounsome Photography copy.jpeg,117729
Adjusted Dec 08,12%adjusted Jessica Ackerman 08Dec 2022 Jo Hounsome Photography copy.jpeg,113827
Adjusted Dec 10,12%adjusted Jessica Ackerman 10Dec 2022 Jo Hounsome Photography copy.jpeg,110528
BB watercolour,12-BB watercolour.jpg,505498
Bubblegum Dec 15a,12bubblegum Jessica Ackerman 15a Dec 2022 Studio Visit Jo Hounsome Photography copy.jpeg,112567
Bubblegum Dec 18a,12bubblegum Jessica Ackerman 18a Dec 2022 Studio Visit Jo Hounsome Photography copy.jpeg,103297
Bubblegum Dec 17a,15%bubblegum Jessica Ackerman 17a Dec 2022 Studio Visit Jo Hounsome Photography copy.jpeg,151261
March 05 2024,1MB Jessica Ackermann 05 March 2024 Jo Hounsome Photography.jpg,159608
March 19 2024,1MB Jessica Ackermann 19 March 2024 Jo Hounsome Photography.jpg,200259
March 13 2024,1MB edited Jessica Ackermann 13 March 2024 Jo Hounsome Photography.jpg,215865
To,2 To.png,197432
Mary Archer,2-Mary_Archer.jpg,331382
Songs of Salt installation 1,2-Songs of Salt installation shot 1.jpg,303764
Image 2,2.jpg,246680
Fat Rascals invitation,20%Fat Rascals invitation - Jessica Akerman copy.jpeg,107474
Image 20140504,20140504_082144.jpg,1197623
